Administrator,admin@zdp1.com
Report Created,"May 16, 2024 10:46:46 AM PDT"
Policy Action,Block
No.,Event Time,User,URL,Policy Action,Cloud Application Class,Cloud Application,URL Class,URL Super Category,URL Category,Threat Category,Threat Name,Location,Department,Request Method,Download File Type,Download File Name,Protocol,Blocked Policy Name,Blocked Policy Type,Client Session Reused,Certificate Chain Validity,Server Session Reused,Server Certificate Validation Type,Server Certificate Validity Period,Server Wildcard Certificate,Server Certificate Self Signed,DLP MD5,DLP Identifier,ALPN Protocol,Unscannable Type,Forwarding Rule,Forwarding Method,Application Segment,Gateway IP,Gateway Name,Upload File Type,Upload File Name,Application Activity,
1,"May 16, 2024 10:29:21 AM PDT",admin@zdp1.com,mail.google.com/mail/u/0/?ui=2&ik=74c7398b60&jsver=bU-VkCKxFf8.en..es5&cbl=gmail.pinto-server_20240502.06_p0&rid=eb60..&view=up&act=oestp&_reqid=337760&at=AF6bupOPJmtFMso2HV2-2_YDEuzzKfNufQ&nsc=1&mb=0&rt=j,File Attachment not allowed,Web Mail,Gmail,Business Use,Internet Communication,Webmail,None,None,Road Warrior,Service Admin,POST,None,None,HTTPS,Webmail_1,Webmail,No,Pass,None,Domain Validation,0-3 months,No,No,None,None,N/A,None,None,None,None,None,None,None,18f8026c862fa3f7,Upload/Attachments,
2,"May 16, 2024 10:29:22 AM PDT",admin@zdp1.com,mail.google.com/mail/u/0/?ui=2&ik=74c7398b60&jsver=bU-VkCKxFf8.en..es5&cbl=gmail.pinto-server_20240502.06_p0&rid=eb60..&view=up&act=oestp&_reqid=337760&f.retries=1&at=AF6bupOPJmtFMso2HV2-2_YDEuzzKfNufQ&nsc=1&mb=0&rt=j,File Attachment not allowed,Web Mail,Gmail,Business Use,Internet Communication,Webmail,None,None,Road Warrior,Service Admin,POST,None,None,HTTPS,Webmail_1,Webmail,No,Pass,None,Domain Validation,0-3 months,No,No,None,None,N/A,None,None,None,None,None,None,None,18f8026c862fa3f7,Upload/Attachments,
3,"May 16, 2024 10:29:23 AM PDT",admin@zdp1.com,mail.google.com/mail/u/0/?ui=2&ik=74c7398b60&jsver=bU-VkCKxFf8.en..es5&cbl=gmail.pinto-server_20240502.06_p0&rid=eb60..&view=up&act=oestp&_reqid=337760&f.retries=2&at=AF6bupOPJmtFMso2HV2-2_YDEuzzKfNufQ&nsc=1&mb=0&rt=j,File Attachment not allowed,Web Mail,Gmail,Business Use,Internet Communication,Webmail,None,None,Road Warrior,Service Admin,POST,None,None,HTTPS,Webmail_1,Webmail,No,Pass,None,Domain Validation,0-3 months,No,No,None,None,N/A,None,None,None,None,None,None,None,18f8026c862fa3f7,Upload/Attachments,
4,"May 16, 2024 10:29:27 AM PDT",admin@zdp1.com,mail.google.com/mail/u/0/?ui=2&ik=74c7398b60&jsver=bU-VkCKxFf8.en..es5&cbl=gmail.pinto-server_20240502.06_p0&rid=eb60..&view=up&act=oestp&_reqid=337760&f.retries=3&at=AF6bupOPJmtFMso2HV2-2_YDEuzzKfNufQ&nsc=1&mb=0&rt=j,File Attachment not allowed,Web Mail,Gmail,Business Use,Internet Communication,Webmail,None,None,Road Warrior,Service Admin,POST,None,None,HTTPS,Webmail_1,Webmail,No,Pass,None,Domain Validation,0-3 months,No,No,None,None,N/A,None,None,None,None,None,None,None,18f8026c862fa3f7,Upload/Attachments,
5,"May 16, 2024 10:29:34 AM PDT",admin@zdp1.com,mail.google.com/mail/u/0/?ui=2&ik=74c7398b60&jsver=bU-VkCKxFf8.en..es5&cbl=gmail.pinto-server_20240502.06_p0&rid=eb60..&view=up&act=oestp&_reqid=337760&f.retries=4&at=AF6bupOPJmtFMso2HV2-2_YDEuzzKfNufQ&nsc=1&mb=0&rt=j,File Attachment not allowed,Web Mail,Gmail,Business Use,Internet Communication,Webmail,None,None,Road Warrior,Service Admin,POST,None,None,HTTPS,Webmail_1,Webmail,No,Pass,None,Domain Validation,0-3 months,No,No,None,None,N/A,None,None,None,None,None,None,None,18f8026c862fa3f7,Upload/Attachments,
6,"May 16, 2024 10:29:51 AM PDT",admin@zdp1.com,mail.google.com/mail/u/0/?ui=2&ik=74c7398b60&jsver=bU-VkCKxFf8.en..es5&cbl=gmail.pinto-server_20240502.06_p0&rid=eb60..&view=up&act=oestp&_reqid=337760&f.retries=5&at=AF6bupOPJmtFMso2HV2-2_YDEuzzKfNufQ&nsc=1&mb=0&rt=j,File Attachment not allowed,Web Mail,Gmail,Business Use,Internet Communication,Webmail,None,None,Road Warrior,Service Admin,POST,None,None,HTTPS,Webmail_1,Webmail,No,Pass,None,Domain Validation,0-3 months,No,No,None,None,N/A,None,None,None,None,None,None,None,18f8026c862fa3f7,Upload/Attachments,
7,"May 16, 2024 10:30:26 AM PDT",admin@zdp1.com,mail.google.com/mail/u/0/?ui=2&ik=74c7398b60&jsver=bU-VkCKxFf8.en..es5&cbl=gmail.pinto-server_20240502.06_p0&rid=eb60..&view=up&act=oestp&_reqid=337760&f.retries=6&at=AF6bupOPJmtFMso2HV2-2_YDEuzzKfNufQ&nsc=1&mb=0&rt=j,File Attachment not allowed,Web Mail,Gmail,Business Use,Internet Communication,Webmail,None,None,Road Warrior,Service Admin,POST,None,None,HTTPS,Webmail_1,Webmail,No,Pass,None,Domain Validation,0-3 months,No,No,None,None,N/A,None,None,None,None,None,None,None,18f8026c862fa3f7,Upload/Attachments,
8,"May 16, 2024 10:31:37 AM PDT",admin@zdp1.com,mail.google.com/mail/u/0/?ui=2&ik=74c7398b60&jsver=bU-VkCKxFf8.en..es5&cbl=gmail.pinto-server_20240502.06_p0&rid=eb60..&view=up&act=oestp&_reqid=337760&f.retries=7&at=AF6bupOPJmtFMso2HV2-2_YDEuzzKfNufQ&nsc=1&mb=0&rt=j,File Attachment not allowed,Web Mail,Gmail,Business Use,Internet Communication,Webmail,None,None,Road Warrior,Service Admin,POST,None,None,HTTPS,Webmail_1,Webmail,No,Pass,None,Domain Validation,0-3 months,No,No,None,None,N/A,None,None,None,None,None,None,None,18f8026c862fa3f7,Upload/Attachments,
9,"May 16, 2024 10:33:51 AM PDT",admin@zdp1.com,app.box.com/index.php?rm=box_gen204_batch_record,Not allowed to upload media files to this site,File Sharing,Box,Business Use,Information Technology,FileHost,None,None,Road Warrior,Service Admin,POST,None,None,HTTPS,File_Sharing_4,File Sharing,No,Pass,None,Organization Validation,3-12 months,No,No,None,None,N/A,None,None,None,None,None,None,None,None,Upload,
10,"May 16, 2024 10:34:05 AM PDT",admin@zdp1.com,app.box.com/app-api/enduserapp/folder/create,Not allowed to create on this site,File Sharing,Box,Business Use,Information Technology,FileHost,None,None,Road Warrior,Service Admin,POST,None,None,HTTPS,File_Sharing_4,File Sharing,No,Pass,None,Organization Validation,3-12 months,No,No,None,None,N/A,None,None,None,None,None,None,None,None,Create,
